,Longitude,Latitudes
193,-108.63705,37.448350000000005
194,-108.63705,37.53375
195,-108.63705,37.619150000000005
196,-108.63705,37.70455
197,-108.63705,37.789950000000005
198,-108.63705,37.87535
199,-108.63705,37.960750000000004
200,-108.63705,38.04615
201,-108.63705,38.131550000000004
202,-108.63705,38.21695
203,-108.63705,38.302350000000004
204,-108.63705,38.38775
205,-108.63705,38.473150000000004
206,-108.63705,38.55855
207,-108.63705,38.643950000000004
208,-108.63705,38.72935
209,-108.63705,38.814750000000004
210,-108.63705,38.90015
211,-108.63705,38.98555
212,-108.63705,39.070949999999996
213,-108.63705,39.15635
214,-108.63705,39.241749999999996
215,-108.63705,39.32715
216,-108.63705,39.412549999999996
217,-108.63705,39.49795
218,-108.63705,39.583349999999996
219,-108.63705,39.66875
220,-108.63705,39.754149999999996
